iter	Logloss
0	0.6399139174
1	0.5977753403
2	0.5589480979
3	0.5182164754
4	0.4840584721
5	0.4452550022
6	0.4139497046
7	0.3897159098
8	0.3573213269
9	0.3265269212
10	0.2960106111
11	0.2715773062
12	0.2491671265
13	0.2272568458
14	0.2083474355
15	0.1886355154
16	0.1720951144
17	0.1625648681
18	0.1481557512
19	0.1378442773
20	0.1252486169
21	0.1155726514
22	0.1058854149
23	0.09688104987
24	0.08905519962
25	0.08439402504
26	0.07824691617
27	0.07249258776
28	0.06564208906
29	0.0595389864
30	0.05409815157
31	0.04924137462
32	0.04623822164
33	0.0434114017
34	0.04059427853
35	0.03713888146
36	0.0349084717
37	0.03320852001
38	0.03049238528
39	0.02804762017
40	0.02698993726
41	0.02552977766
42	0.0241293161
43	0.02267903323
44	0.02158981572
45	0.02067392282
46	0.01963362118
47	0.01863306444
48	0.0176399049	49	0.01698643379
50	0.01613243983
51	0.01562396979
52	0.01486063772
53	0.01450720943
54	0.01429476216
55	0.01367686557
56	0.01300835401
57	0.01237312477
58	0.01180523551
59	0.01104852933
60	0.01076761713
61	0.01048138966
62	0.009828359254
63	0.009680805922
64	0.009281873583
65	0.008722494109
66	0.008499984493
67	0.00831753425
68	0.008001261966
69	0.007891146777
70	0.007437098073
71	0.00732712964
72	0.00716814656
73	0.006976768904
74	0.006879908723
75	0.00668916359
76	0.006321256134
77	0.006196140244
78	0.00610113841
79	0.005903711012
80	0.005702442081
81	0.005618942833
82	0.005475616377
83	0.005285880916
84	0.005123858128
85	0.005047122819
86	0.004827145045
87	0.004770926575
88	0.004597528272
89	0.004525967957
90	0.004393192196
91	0.004298005446
92	0.004164444452
93	0.004048032948
94	0.003859833157
95	0.003819169022
96	0.003645325244
97	0.003482440133
98	0.003419095785
99	0.003386147108
100	0.00337101602
101	0.003336020152
102	0.00330464039
103	0.003235491817
104	0.00319714016
105	0.003170734882
106	0.003073675178
107	0.003048967982
108	0.002967289833
109	0.002941790681
110	0.002914615216
111	0.002809218742
112	0.0026936609
113	0.002649568133
114	0.002641776485
115	0.002613438978
116	0.002550681042
117	0.002508534954
118	0.002495369014
119	0.002477687042
120	0.00242512173
121	0.002403032482
122	0.002387421008
123	0.002362593291
124	0.002347485065
125	0.002328753423
